"","X","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"1",1,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1965","1969","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",6,NA,NA,"unknown/mixed","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",743,79,24,"Europe"
"2",2,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1965","1969","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",6,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",770,79,24,"Europe"
"3",3,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1970","1974","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",27,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",710,79,24,"Europe"
"4",4,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1970","1974","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",27,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",1100,79,24,"Europe"
"5",5,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1975","1979","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",31,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",560,79,24,"Europe"
"6",6,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1975","1979","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",31,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",1000,79,24,"Europe"
"7",7,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1980","1984","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",18,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",400,79,24,"Europe"
"8",8,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1980","1984","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",18,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",1000,79,24,"Europe"
"9",9,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1985","1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",31,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",250,79,24,"Europe"
"10",10,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1985","1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",31,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",740,79,24,"Europe"
"11",11,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1990","1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",17,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",170,79,24,"Europe"
"12",12,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1990","1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",17,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",540,79,24,"Europe"
"13",13,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1995","1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",5,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",110,79,24,"Europe"
"14",14,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1995","1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",5,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",390,79,24,"Europe"
"15",15,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1966",NA,"Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",1,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",250,79,24,"Europe"
"16",16,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1966",NA,"Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",1,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",310,79,24,"Europe"
"17",17,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1977","1979","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",3,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,"86","190","µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",130,79,24,"Europe"
"18",18,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1977","1979","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",3,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,"190","380","µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",250,79,24,"Europe"
"19",19,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1980","1984","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",57,79,24,"Europe"
"20",20,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1980","1984","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",200,79,24,"Europe"
"21",21,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1985","1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",5,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",33,79,24,"Europe"
"22",22,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1985","1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",5,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",130,79,24,"Europe"
"23",23,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1990","1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",20,79,24,"Europe"
"24",24,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1990","1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",76,79,24,"Europe"
"25",25,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1995","1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",6,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",14,79,24,"Europe"
"26",26,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1995","1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",6,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",51,79,24,"Europe"
"27",27,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1985","1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Interior",3,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,"43","190","µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",110,79,24,"Europe"
