"","ID","study.period","country","common_name","toxicant.specific","toxicant.group","sample.type","sample.size","exposed","proportion","concentration..ND.for.non.detects.","unit.of.measure"
"1",89,"1992-1993","Russia","Common Kestrel","DDE","organochlorine insecticides","eggs",12,NA,NA,"0.03","ppm"
"2",89,"1992-1993","Russia","Common Kestrel","DDD","organochlorine insecticides","eggs",12,NA,NA,NA,"ppm"
"3",89,"1992-1993","Russia","Common Kestrel","DDT","organochlorine insecticides","eggs",12,NA,NA,NA,"ppm"
"4",89,"1992-1993","Russia","Common Kestrel","b-HCH","organochlorine insecticides","eggs",12,NA,NA,"0.02","ppm"
"5",89,"1992-1993","Russia","Common Kestrel",NA,"PCBs","eggs",12,NA,NA,"0.02","ppm"
"6",89,"1992-1993","Russia","Common Kestrel","a-HCH","organochlorine insecticides","eggs",12,NA,NA,NA,"ppm"
"7",89,"1992-1993","Russia","Common Kestrel","d-HCH","organochlorine insecticides","eggs",12,NA,NA,NA,"ppm"
"8",89,"1992-1993","Russia","Common Kestrel","Dieldrin","organochlorine insecticides","eggs",12,NA,NA,NA,"ppm"
"9",89,"1992-1993","Russia","Common Kestrel","Lindane","organochlorine insecticides","eggs",12,NA,NA,NA,"ppm"
"10",89,"1992-1993","Russia","Common Kestrel","Hexachlorobenzene","organochlorine insecticides","eggs",12,NA,NA,NA,"ppm"
"11",89,"1992-1993","Russia","Common Kestrel","heptachlor epoxide (trans)","organochlorine insecticides","eggs",12,NA,NA,NA,"ppm"
"12",89,"1992-1993","Russia","Common Kestrel","oxychlordane","organochlorine insecticides","eggs",12,NA,NA,NA,"ppm"
"13",89,"1992-1993","Russia","Steppe Eagle","DDE","organochlorine insecticides","eggs",5,NA,NA,"0.05","ppm"
"14",89,"1992-1993","Russia","Steppe Eagle","DDD","organochlorine insecticides","eggs",5,NA,NA,NA,"ppm"
"15",89,"1992-1993","Russia","Steppe Eagle","DDT","organochlorine insecticides","eggs",5,NA,NA,NA,"ppm"
"16",89,"1992-1993","Russia","Steppe Eagle","b-HCH","organochlorine insecticides","eggs",5,NA,NA,"0.28000000000000003","ppm"
"17",89,"1992-1993","Russia","Steppe Eagle",NA,"PCBs","eggs",5,NA,NA,"0.03","ppm"
"18",89,"1992-1993","Russia","Steppe Eagle","a-HCH","organochlorine insecticides","eggs",5,NA,NA,"0.01","ppm"
"19",89,"1992-1993","Russia","Steppe Eagle","d-HCH","organochlorine insecticides","eggs",5,NA,NA,"0.01","ppm"
"20",89,"1992-1993","Russia","Steppe Eagle","Dieldrin","organochlorine insecticides","eggs",5,NA,NA,"0.01","ppm"
"21",89,"1992-1993","Russia","Steppe Eagle","Lindane","organochlorine insecticides","eggs",5,NA,NA,NA,"ppm"
"22",89,"1992-1993","Russia","Steppe Eagle","Hexachlorobenzene","organochlorine insecticides","eggs",5,NA,NA,NA,"ppm"
"23",89,"1992-1993","Russia","Steppe Eagle","heptachlor epoxide (trans)","organochlorine insecticides","eggs",5,NA,NA,NA,"ppm"
"24",89,"1992-1993","Russia","Steppe Eagle","oxychlordane","organochlorine insecticides","eggs",5,NA,NA,NA,"ppm"
"25",89,"1992-1993","Russia","Red-footed Falcon","DDE","organochlorine insecticides","eggs",2,NA,NA,"0.03","ppm"
"26",89,"1992-1993","Russia","Red-footed Falcon","DDD","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
"27",89,"1992-1993","Russia","Red-footed Falcon","DDT","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
"28",89,"1992-1993","Russia","Red-footed Falcon","b-HCH","organochlorine insecticides","eggs",2,NA,NA,"0.01","ppm"
"29",89,"1992-1993","Russia","Red-footed Falcon",NA,"PCBs","eggs",2,NA,NA,"0.02","ppm"
"30",89,"1992-1993","Russia","Red-footed Falcon","a-HCH","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
"31",89,"1992-1993","Russia","Red-footed Falcon","d-HCH","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
"32",89,"1992-1993","Russia","Red-footed Falcon","Dieldrin","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
"33",89,"1992-1993","Russia","Red-footed Falcon","Lindane","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
"34",89,"1992-1993","Russia","Red-footed Falcon","Hexachlorobenzene","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
"35",89,"1992-1993","Russia","Red-footed Falcon","heptachlor epoxide (trans)","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
"36",89,"1992-1993","Russia","Red-footed Falcon","oxychlordane","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
"37",89,"1992-1993","Russia","Long-legged Buzzard","DDE","organochlorine insecticides","eggs",3,NA,NA,"0.13","ppm"
"38",89,"1992-1993","Russia","Long-legged Buzzard","DDD","organochlorine insecticides","eggs",3,NA,NA,NA,"ppm"
"39",89,"1992-1993","Russia","Long-legged Buzzard","DDT","organochlorine insecticides","eggs",3,NA,NA,NA,"ppm"
"40",89,"1992-1993","Russia","Long-legged Buzzard","b-HCH","organochlorine insecticides","eggs",3,NA,NA,"0.11","ppm"
"41",89,"1992-1993","Russia","Long-legged Buzzard",NA,"PCBs","eggs",3,NA,NA,"0.14000000000000001","ppm"
"42",89,"1992-1993","Russia","Long-legged Buzzard","a-HCH","organochlorine insecticides","eggs",3,NA,NA,NA,"ppm"
"43",89,"1992-1993","Russia","Long-legged Buzzard","d-HCH","organochlorine insecticides","eggs",3,NA,NA,NA,"ppm"
"44",89,"1992-1993","Russia","Long-legged Buzzard","Dieldrin","organochlorine insecticides","eggs",3,NA,NA,NA,"ppm"
"45",89,"1992-1993","Russia","Long-legged Buzzard","Lindane","organochlorine insecticides","eggs",3,NA,NA,NA,"ppm"
"46",89,"1992-1993","Russia","Long-legged Buzzard","Hexachlorobenzene","organochlorine insecticides","eggs",3,NA,NA,"0.01","ppm"
"47",89,"1992-1993","Russia","Long-legged Buzzard","heptachlor epoxide (trans)","organochlorine insecticides","eggs",3,NA,NA,NA,"ppm"
"48",89,"1992-1993","Russia","Long-legged Buzzard","oxychlordane","organochlorine insecticides","eggs",3,NA,NA,NA,"ppm"
"49",89,"1992-1993","Russia","Black Kite","DDE","organochlorine insecticides","eggs",2,NA,NA,"0.45","ppm"
"50",89,"1992-1993","Russia","Black Kite","DDD","organochlorine insecticides","eggs",2,NA,NA,"0.06","ppm"
"51",89,"1992-1993","Russia","Black Kite","DDT","organochlorine insecticides","eggs",2,NA,NA,"0.05","ppm"
"52",89,"1992-1993","Russia","Black Kite","b-HCH","organochlorine insecticides","eggs",2,NA,NA,"0.33","ppm"
"53",89,"1992-1993","Russia","Black Kite",NA,"PCBs","eggs",2,NA,NA,"0.09","ppm"
"54",89,"1992-1993","Russia","Black Kite","a-HCH","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
"55",89,"1992-1993","Russia","Black Kite","d-HCH","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
"56",89,"1992-1993","Russia","Black Kite","Dieldrin","organochlorine insecticides","eggs",2,NA,NA,NA,"ppm"
