"","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"1",90,"The role of DDE, PCB, coplanar","1965","1969","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",6,NA,NA,"unknown/mixed","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",743,87,24,"Europe"
"2",90,"The role of DDE, PCB, coplanar","1965","1969","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",6,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",770,87,24,"Europe"
"3",90,"The role of DDE, PCB, coplanar","1970","1974","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",27,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",710,87,24,"Europe"
"4",90,"The role of DDE, PCB, coplanar","1970","1974","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",27,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",1100,87,24,"Europe"
"5",90,"The role of DDE, PCB, coplanar","1975","1979","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",31,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",560,87,24,"Europe"
"6",90,"The role of DDE, PCB, coplanar","1975","1979","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",31,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",1000,87,24,"Europe"
"7",90,"The role of DDE, PCB, coplanar","1980","1984","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",18,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",400,87,24,"Europe"
"8",90,"The role of DDE, PCB, coplanar","1980","1984","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",18,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",1000,87,24,"Europe"
"9",90,"The role of DDE, PCB, coplanar","1985","1989","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",31,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",250,87,24,"Europe"
"10",90,"The role of DDE, PCB, coplanar","1985","1989","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",31,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",740,87,24,"Europe"
"11",90,"The role of DDE, PCB, coplanar","1990","1994","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",17,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",170,87,24,"Europe"
"12",90,"The role of DDE, PCB, coplanar","1990","1994","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",17,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",540,87,24,"Europe"
"13",90,"The role of DDE, PCB, coplanar","1995","1997","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Baltic Coast",5,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",110,87,24,"Europe"
"14",90,"The role of DDE, PCB, coplanar","1995","1997","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Baltic Coast",5,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",390,87,24,"Europe"
"15",90,"The role of DDE, PCB, coplanar","1966",NA,"Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",1,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",250,87,24,"Europe"
"16",90,"The role of DDE, PCB, coplanar","1966",NA,"Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",1,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",310,87,24,"Europe"
