,ID,Title,study.period,country,common_name,sci_name,subject.type,toxicant.specific,toxicant.group,sample.type,group,sample.size,exposed,proportion,Age.Class,Sex,concentration.level.estimate.type,concentration..ND.for.non.detects.,Detection.limit..if.reported.,SD.of.concentration,minimum,maximum,unit.of.measure,wet.dry.weight.,sublethal.effects.assessed.,sublethal.specific,sublethal.type
1,89,"Organochlorine pesticides, PCBs and mercury in hawk, falcon, eagle and owl eggs from the Lipetsk, Voronezh, Novgorod and Saratov regions, Russia, 1992-1993",1992-1993,Russia,Common Kestrel,Falco tinnunculus,wild,DDE,organochlorine insecticides,eggs,NA,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.03,NA,NA,0.01,7.00E-02,ppm,NA,no,NA,NA
2,89,"Organochlorine pesticides, PCBs and mercury in hawk, falcon, eagle and owl eggs from the Lipetsk, Voronezh, Novgorod and Saratov regions, Russia, 1992-1993",1992-1993,Russia,Common Kestrel,Falco tinnunculus,wild,DDD,organochlorine insecticides,eggs,NA,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,NA,NA
3,89,"Organochlorine pesticides, PCBs and mercury in hawk, falcon, eagle and owl eggs from the Lipetsk, Voronezh, Novgorod and Saratov regions, Russia, 1992-1993",1992-1993,Russia,Common Kestrel,Falco tinnunculus,wild,DDT,organochlorine insecticides,eggs,NA,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,NA,NA
4,89,"Organochlorine pesticides, PCBs and mercury in hawk, falcon, eagle and owl eggs from the Lipetsk, Voronezh, Novgorod and Saratov regions, Russia, 1992-1993",1992-1993,Russia,Common Kestrel,Falco tinnunculus,wild,b-HCH,organochlorine insecticides,eggs,NA,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.02,NA,NA,0.01,0.06,ppm,NA,no,NA,NA
5,89,"Organochlorine pesticides, PCBs and mercury in hawk, falcon, eagle and owl eggs from the Lipetsk, Voronezh, Novgorod and Saratov regions, Russia, 1992-1993",1992-1993,Russia,Common Kestrel,Falco tinnunculus,wild,NA,PCBs,eggs,NA,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.02,NA,NA,0.01,0.03,ppm,NA,no,NA,NA
6,89,"Organochlorine pesticides, PCBs and mercury in hawk, falcon, eagle and owl eggs from the Lipetsk, Voronezh, Novgorod and Saratov regions, Russia, 1992-1993",1992-1993,Russia,Common Kestrel,Falco tinnunculus,wild,a-HCH,organochlorine insecticides,eggs,NA,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,NA,NA
7,89,"Organochlorine pesticides, PCBs and mercury in hawk, falcon, eagle and owl eggs from the Lipetsk, Voronezh, Novgorod and Saratov regions, Russia, 1992-1993",1992-1993,Russia,Common Kestrel,Falco tinnunculus,wild,d-HCH,organochlorine insecticides,eggs,NA,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,NA,NA
8,89,"Organochlorine pesticides, PCBs and mercury in hawk, falcon, eagle and owl eggs from the Lipetsk, Voronezh, Novgorod and Saratov regions, Russia, 1992-1993",1992-1993,Russia,Common Kestrel,Falco tinnunculus,wild,Dieldrin,organochlorine insecticides,eggs,NA,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,NA,NA
9,89,"Organochlorine pesticides, PCBs and mercury in hawk, falcon, eagle and owl eggs from the Lipetsk, Voronezh, Novgorod and Saratov regions, Russia, 1992-1993",1992-1993,Russia,Common Kestrel,Falco tinnunculus,wild,Lindane,organochlorine insecticides,eggs,NA,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,NA,NA
10,89,"Organochlorine pesticides, PCBs and mercury in hawk, falcon, eagle and owl eggs from the Lipetsk, Voronezh, Novgorod and Saratov regions, Russia, 1992-1993",1992-1993,Russia,Common Kestrel,Falco tinnunculus,wild,Hexachlorobenzene,organochlorine insecticides,eggs,NA,12,NA,NA,unknown/mixed,unknown/mixed,geometric mean,NA,NA,NA,NA,NA,ppm,NA,no,NA,NA
