"","publication year","Reference","ID","study period","country","English name","scientific name","subject type","toxicant specific","toxicant group","sample type","group","sample size","no. exposed","OR if given, proportion exposed","Age Class","Sex","concentration level estimate type","concentration (ND for non-detects)","Detection limit (if reported)","SD of concentration","minimum","maximum","unit of measure","wet/dry weight?","sublethal effects assessed?","sublethal specific","sublethal type","Notes"
"1",2019,"Couerdassier et al. 2019",98,"1999-2016","France","Reunion Harrier","Circus maillardi","wild","difenacoum","anticoagulant rodenticides","liver",NA,58,"NA","0.73","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no",NA,NA,NA
"2",2019,"Couerdassier et al. 2019",98,"1999-2016","France","Reunion Harrier","Circus maillardi","wild","bromadiolone","anticoagulant rodenticides","liver",NA,58,"NA","0.7","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no",NA,NA,NA
"3",2019,"Couerdassier et al. 2019",98,"1999-2016","France","Reunion Harrier","Circus maillardi","wild","brodifacoum","anticoagulant rodenticides","liver",NA,58,"NA","0.51","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no",NA,NA,NA
"4",2019,"Couerdassier et al. 2019",98,"1999-2016","France","Reunion Harrier","Circus maillardi","wild","chlorophacinone","anticoagulant rodenticides","liver",NA,58,"NA","0.41","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no",NA,NA,NA
"5",2019,"Couerdassier et al. 2019",98,"1999-2016","France","Reunion Harrier","Circus maillardi","wild","difethialone","anticoagulant rodenticides","liver",NA,58,"NA","0.18","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no",NA,NA,NA
"6",2020,"Aver et al. 2020",96,"2015-2017","Brazil","Southern Caracara","Caracara plancus","wild","a-HCH","organochlorine insecticides","body feathers",NA,20,"NA","1","adult","unknown/mixed","arithmetic mean","16.5","NA","11.2","6.42","44.93","µg/g","NA","no",NA,NA,NA
"7",2020,"Aver et al. 2020",96,"2015-2017","Brazil","Southern Caracara","Caracara plancus","wild","b-HCH","organochlorine insecticides","body feathers",NA,20,"NA","1","adult","unknown/mixed","arithmetic mean","7.73","NA","6.84","1.9","25.2","µg/g","NA","no",NA,NA,NA
"8",2020,"Aver et al. 2020",96,"2015-2017","Brazil","Southern Caracara","Caracara plancus","wild","g-HCH","organochlorine insecticides","body feathers",NA,20,"NA","0.9","adult","unknown/mixed","arithmetic mean","9.9499999999999993","NA","8.48","2.74","27.29","µg/g","NA","no",NA,NA,NA
"9",2020,"Aver et al. 2020",96,"2015-2017","Brazil","Southern Caracara","Caracara plancus","wild","heptachlor","organochlorine insecticides","body feathers",NA,20,"NA","0.3","adult","unknown/mixed","arithmetic mean","104.11","NA","20.62","69.23","122.93","µg/g","NA","no",NA,NA,NA
"10",2020,"Aver et al. 2020",96,"2015-2017","Brazil","Southern Caracara","Caracara plancus","wild","heptachlor epoxide (trans)","organochlorine insecticides","body feathers",NA,20,"NA","0.9","adult","unknown/mixed","arithmetic mean","2.37","NA","2.15","0.72","10","µg/g","NA","no",NA,NA,NA
"11",2020,"Aver et al. 2020",96,"2015-2017","Brazil","Southern Caracara","Caracara plancus","wild","aldrin","organochlorine insecticides","body feathers",NA,20,"NA","0.45","adult","unknown/mixed","arithmetic mean","0.63","NA","0.27","0.31","1.22","µg/g","NA","no",NA,NA,NA
"12",2020,"Aver et al. 2020",96,"2015-2017","Brazil","Southern Caracara","Caracara plancus","wild","endosulfan I","organochlorine insecticides","body feathers",NA,20,"NA","0.45","adult","unknown/mixed","arithmetic mean","2.4300000000000002","NA","1.72","1.53","5.38","µg/g","NA","no",NA,NA,NA
"13",2020,"Aver et al. 2020",96,"2015-2017","Brazil","Southern Caracara","Caracara plancus","wild","endosulfan II","organochlorine insecticides","body feathers",NA,20,"NA","0.5","adult","unknown/mixed","arithmetic mean","4.75","NA","4.42","2.7","12.3","µg/g","NA","no",NA,NA,NA
"14",2020,"Aver et al. 2020",96,"2015-2017","Brazil","Southern Caracara","Caracara plancus","wild","endosulfan sulfate","organochlorine insecticides","body feathers",NA,20,"NA","0.6","adult","unknown/mixed","arithmetic mean","14.13","NA","9.26","13.19","28.22","µg/g","NA","no",NA,NA,NA
"15",2020,"Aver et al. 2020",96,"2015-2017","Brazil","Southern Caracara","Caracara plancus","wild","DDE","organochlorine insecticides","body feathers",NA,20,"NA","0.95","adult","unknown/mixed","arithmetic mean","4.13","NA","3.14","1.31","15.62","µg/g","NA","no",NA,NA,NA
"16",2018,"Byholm et al. 2018",97,"2013","Finland","European Honey-buzzard","Pernis apivorus","wild","Imidacloprid","pesticides","blood",NA,8,"NA","0.375","nestling","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no",NA,NA,NA
"17",2018,"Byholm et al. 2018",97,"2013","Finland","European Honey-buzzard","Pernis apivorus","wild","Thiacloprid","pesticides","blood",NA,8,"NA","0.875","nestling","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no",NA,NA,NA
