C,publication year,study period,country,scientific name,English name,subject type,toxicant group,toxicant specific,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal type,sublethal specific,Notes,,,,,,,,,,,,,,,,
Couerdassier et al. 2019,2019,1999-2016,France,Circus maillardi,Reunion Harrier,wild,anticoagulant rodenticides,difenacoum,liver,,58,NA,0.73,unknown/mixed,unknown/mixed,NA,NA,NA,NA,NA,NA,NA,NA,no,,,,,,,,,,,,,,,,,,,
Couerdassier et al. 2019,2019,1999-2016,France,Circus maillardi,Reunion Harrier,wild,anticoagulant rodenticides,bromadiolone,liver,,58,NA,0.7,unknown/mixed,unknown/mixed,NA,NA,NA,NA,NA,NA,NA,NA,no,,,,,,,,,,,,,,,,,,,
Couerdassier et al. 2019,2019,1999-2016,France,Circus maillardi,Reunion Harrier,wild,anticoagulant rodenticides,brodifacoum,liver,,58,NA,0.51,unknown/mixed,unknown/mixed,NA,NA,NA,NA,NA,NA,NA,NA,no,,,,,,,,,,,,,,,,,,,
Couerdassier et al. 2019,2019,1999-2016,France,Circus maillardi,Reunion Harrier,wild,anticoagulant rodenticides,chlorophacinone,liver,,58,NA,0.41,unknown/mixed,unknown/mixed,NA,NA,NA,NA,NA,NA,NA,NA,no,,,,,,,,,,,,,,,,,,,
Couerdassier et al. 2019,2019,1999-2016,France,Circus maillardi,Reunion Harrier,wild,anticoagulant rodenticides,difethialone,liver,,58,NA,0.18,unknown/mixed,unknown/mixed,NA,NA,NA,NA,NA,NA,NA,NA,no,,,,,,,,,,,,,,,,,,,
Aver et al. 2020,2020,2015-2017,Brazil,Caracara plancus,Southern Caracara,wild,organochlorine insecticides,a-HCH,body feathers,,20,NA,1,adult,unknown/mixed,arithmetic mean,16.5,NA,11.2,6.42,44.93,?g/g,NA,no,,,,,,,,,,,,,,,,,,,
Aver et al. 2020,2020,2015-2017,Brazil,Caracara plancus,Southern Caracara,wild,organochlorine insecticides,b-HCH,body feathers,,20,NA,1,adult,unknown/mixed,arithmetic mean,7.73,NA,6.84,1.9,25.2,?g/g,NA,no,,,,,,,,,,,,,,,,,,,
Aver et al. 2020,2020,2015-2017,Brazil,Caracara plancus,Southern Caracara,wild,organochlorine insecticides,g-HCH,body feathers,,20,NA,0.9,adult,unknown/mixed,arithmetic mean,9.95,NA,8.48,2.74,27.29,?g/g,NA,no,,,,,,,,,,,,,,,,,,,
Aver et al. 2020,2020,2015-2017,Brazil,Caracara plancus,Southern Caracara,wild,organochlorine insecticides,heptachlor,body feathers,,20,NA,0.3,adult,unknown/mixed,arithmetic mean,104.11,NA,20.62,69.23,122.93,?g/g,NA,no,,,,,,,,,,,,,,,,,,,
Aver et al. 2020,2020,2015-2017,Brazil,Caracara plancus,Southern Caracara,wild,organochlorine insecticides,heptachlor epoxide (trans),body feathers,,20,NA,0.9,adult,unknown/mixed,arithmetic mean,2.37,NA,2.15,0.72,10,?g/g,NA,no,,,,,,,,,,,,,,,,,,,
