"","ID","Title","country","BLFamilyLatin","common_name","subject.type","Age.Class","toxicant.specific","toxicant.group","sample.type","sample.size","exposed","BodyMass.Value","Diet.Inv","Diet.Scav","concentration","concentration.level.estimate.type","Detection.limit..if.reported.","unit.of.measure","sublethal.effects.assessed.","sublethal.specific","sublethal.type"
"1",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","unknown/mixed","DDE","organochlorine insecticides","egg(s)",6,NA,4729.27,0,30,743,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"2",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",6,NA,4729.27,0,30,770,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"3",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",27,NA,4729.27,0,30,710,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"4",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",27,NA,4729.27,0,30,1100,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"5",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",31,NA,4729.27,0,30,560,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"6",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",31,NA,4729.27,0,30,1000,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"7",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",18,NA,4729.27,0,30,400,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"8",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",18,NA,4729.27,0,30,1000,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"9",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",31,NA,4729.27,0,30,250,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"10",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",31,NA,4729.27,0,30,740,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"11",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",17,NA,4729.27,0,30,170,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"12",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","Total PCBs","PCBs","egg(s)",17,NA,4729.27,0,30,540,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
"13",90,"The role of DDE, PCB, coplanar","Sweden","Accipitridae","White-tailed Eagle","wild","egg(s)","DDE","organochlorine insecticides","egg(s)",5,NA,4729.27,0,30,110,"geometric mean","1.00E-03","µg/g","yes","Productivity & egg shell thickness","Nesting Success"
