IOCOrder,BLFamilyLatin,BLFamilyEnglish,sci_name,common_name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
Strigiformes,Tytonidae,Barn owls,Tyto tenebricosa,Sooty Owl,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,20,20,50,10,0,0,Ref_5,1,Christian,1,660.6,Dunning08,1,,
Strigiformes,Tytonidae,Barn owls,Tyto inexspectata,Sulawesi Golden Owl,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,D1,Hamish,0,0,60,20,20,0,0,0,Ref_5,1,Christian,1,521.71,GenAvg,0,,
Strigiformes,Tytonidae,Barn owls,Tyto nigrobrunnea,Taliabu Masked-owl,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,D1,Hamish,0,0,60,20,20,0,0,0,Ref_5,1,Christian,1,521.71,GenAvg,0,,
Strigiformes,Tytonidae,Barn owls,Tyto sororcula,Lesser Masked-owl,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,D1,Hamish,0,0,60,20,20,0,0,0,Ref_5,1,Christian,1,521.71,GenAvg,0,,
Strigiformes,Tytonidae,Barn owls,Tyto manusi,Manus Masked-owl,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,D1,Hamish,0,0,60,20,20,0,0,0,Ref_5,1,Christian,1,521.71,GenAvg,0,,
Strigiformes,Tytonidae,Barn owls,Tyto aurantia,Bismarck Masked-owl,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,C,Hamish,0,0,60,20,20,0,0,0,Ref_5,1,Christian,1,521.71,GenAvg,0,,
Strigiformes,Tytonidae,Barn owls,Tyto novaehollandiae,Australian Masked-owl,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,60,20,20,0,0,0,Ref_5,1,Christian,1,631.85,Dunning08,1,,
Strigiformes,Tytonidae,Barn owls,Tyto rosenbergii,Sulawesi Owl,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,B,Hamish,0,0,60,20,20,0,0,0,Ref_5,1,Christian,1,521.71,GenAvg,0,,
Strigiformes,Tytonidae,Barn owls,Tyto soumagnei,Madagascar Red Owl,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,90,10,0,0,0,0,Ref_5,1,Christian,1,284,Dunning08,1,,
Strigiformes,Tytonidae,Barn owls,Tyto alba,Barn Owl,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,90,10,0,0,0,0,Ref_5,1,Christian,1,403.32,Dunning08,1,,
Strigiformes,Tytonidae,Barn owls,Tyto glaucops,Ashy-faced Owl,0,90,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Other,1,521.71,GenAvg,0,,
Strigiformes,Tytonidae,Barn owls,Tyto capensis,African Grass-owl,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,90,10,0,0,0,0,Ref_5,1,Christian,1,364.74,Dunning08,1,,
